শুনেন	শুন+েন	hear+PRES.3P.FORM
বাড়িগুলো	বাড়ি+গুলো	home+PL
বললে	বল+লে	say+PAST.2P
রান্ধছেন	রান্ধ+ছেন	cook+PROG.3P.FORM
দেশটা	দেশ+টা	country+DEF.SG
মেয়েটা	মেয়ে+টা	girl+DEF.SG
নাচবেন	নাচ+বেন	dance+FUT.3P.FORM
বলি	বল+ি	say+PRES.1P
পড়ছি	পড়+ছি	read/fall+PROG.1P
লিখি	লিখ+ি	write+PRES.1P
ভাষাটি	ভাষা+টি	language+DEF.SG.FORM
ঘুমব	ঘুম+ব	sleep+FUT.1P
করবে	কর+বে	do+FUT.3P
খাে	খা+ে	eat+PRES.3P
দেখে	দেখ+ে	see+PRES.3P
করছি	কর+ছি	do+PROG.1P
শুনলে	শুন+লে	hear+PAST.2P
মানুষগণ	মানুষ+গণ	person+PL.FORM
নদীটাকে	নদী+টাকে	river+OBJ
যালেন	যা+লেন	go+PAST.3P.FORM
চলে	চল+ে	walk/move+PRES.3P
খাবেন	খা+বেন	eat+FUT.3P.FORM
খাছেন	খা+ছেন	eat+PROG.3P.FORM
দেখছে	দেখ+ছে	see+PROG.3P
খাি	খা+ি	eat+PRES.1P
করছেন	কর+ছেন	do+PROG.3P.FORM
ভাষার	ভাষা+র	language+GEN
গাছএ	গাছ+এ	tree+LOC
খেলবে	খেল+বে	play+FUT.3P
লিখব	লিখ+ব	write+FUT.1P
পাখিকে	পাখি+কে	bird+OBJ
পাখির	পাখি+র	bird+GEN
আসব	আস+ব	come+FUT.1P
ঘুমল	ঘুম+ল	sleep+PAST.3P
পড়ি	পড়+ি	read/fall+PRES.1P
লিখছে	লিখ+ছে	write+PROG.3P
ছাত্রকে	ছাত্র+কে	student+OBJ
খালেন	খা+লেন	eat+PAST.3P.FORM
আসবেন	আস+বেন	come+FUT.3P.FORM
নদীটা	নদী+টা	river+DEF.SG
পড়বেন	পড়+বেন	read/fall+FUT.3P.FORM
রান্ধেন	রান্ধ+েন	cook+PRES.3P.FORM
চলছে	চল+ছে	walk/move+PROG.3P
পড়ছেন	পড়+ছেন	read/fall+PROG.3P.FORM
করছে	কর+ছে	do+PROG.3P
বলবেন	বল+বেন	say+FUT.3P.FORM
ঘুমবেন	ঘুম+বেন	sleep+FUT.3P.FORM
গাছটি	গাছ+টি	tree+DEF.SG.FORM
লিখে	লিখ+ে	write+PRES.3P
দেখলে	দেখ+লে	see+PAST.2P
ছেলেটা	ছেলে+টা	boy+DEF.SG
আসলে	আস+লে	come+PAST.2P
আসছি	আস+ছি	come+PROG.1P
ভাষাটাকে	ভাষা+টাকে	language+OBJ
দেখলেন	দেখ+লেন	see+PAST.3P.FORM
ছেলেকে	ছেলে+কে	boy+OBJ
পড়েন	পড়+েন	read/fall+PRES.3P.FORM
লিখছেন	লিখ+ছেন	write+PROG.3P.FORM
আসে	আস+ে	come+PRES.3P
আসবে	আস+বে	come+FUT.3P
আসছে	আস+ছে	come+PROG.3P
হাসি	হাস+ি	laugh+PRES.1P
দেখবেন	দেখ+বেন	see+FUT.3P.FORM
গাছটাকে	গাছ+টাকে	tree+OBJ
ছাত্রগণ	ছাত্র+গণ	student+PL.FORM
যাল	যা+ল	go+PAST.3P
দেশটি	দেশ+টি	country+DEF.SG.FORM
খেলে	খেল+ে	play+PRES.3P
বলবে	বল+বে	say+FUT.3P
করলে	কর+লে	do+PAST.2P
